Rehabber,Age,AgeCode,Diagnosis,DiagnosisCode,Disposition,DisCode,SkywayCode
SSS,Immature,1,Discarded Carcass,1,Released,3,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SOS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
SSS,Immature,1,Fishing Related,1,Died,1,1
