Date,TOTAL,Skyway,Other,Fishing,DehyEmaci,Trauma,Toxins,unkOther,TotalBedM,skyvisitorK,avgWindkm,maxwindkm,avgAirC
2019-01,31,7,24,12,14,4,3,0,8.53,14.23,9.92,36.74,21.69
2019-02,13,3,10,7,0,3,1,2,10.89,17.87,7.74,32.85,25.9
2019-03,14,2,12,8,5,0,0,1,15.63,25.98,8.26,32.07,25.47
2019-04,9,2,7,3,3,2,2,0,11.69,30.91,9.32,34.6,28.71
2019-05,8,1,7,2,2,4,0,1,8.42,28.1,7.95,32.46,32.39
2019-06,34,3,31,24,3,4,1,2,8.64,32.05,8.54,36.35,34.12
2019-07,55,3,52,28,14,4,8,3,9.27,31.11,7.21,32.85,34.04
2019-08,52,15,37,39,8,2,1,2,6.68,30.09,8.22,33.43,34.58
2019-09,33,3,30,25,4,3,0,1,5.09,29.86,8.56,24.69,34.02
2019-10,56,4,52,50,0,6,1,0,6.03,28.11,7.97,34.02,32.35
2019-11,55,15,40,50,2,3,3,0,6.15,19.3,8,27.6,26.16
2019-12,51,12,39,33,13,3,0,2,7.5,24.23,9.39,29.94,25.33
2020-01,106,26,80,61,28,8,1,10,10.03,18.97,9.13,33.24,23.64
2020-02,101,19,82,61,27,12,0,5,13.05,18.83,10.22,42.18,24.44
2020-03,61,10,51,22,22,12,2,4,9.75,21.19,6.85,26.24,28.43
2020-04,40,0,40,22,11,7,2,1,2.58,0,10.31,35.77,29.35
2020-05,42,2,40,30,6,4,1,1,3.45,42.2,8.68,29.55,30.84
2020-06,43,3,40,22,6,7,7,1,6.46,36.24,6.76,30.13,33.79
2020-07,17,1,16,7,5,1,2,2,7.4,37.16,8.13,26.44,34.67
2020-08,42,9,33,19,6,8,6,3,6.1,22.97,7.02,27.8,34.98
2020-09,40,5,35,20,5,8,4,3,5.38,21.86,7.87,29.35,33.32
2020-10,33,5,28,22,0,9,2,2,5.84,30.86,8.29,27.99,32.06
2020-11,53,12,41,32,4,6,9,2,5.2,23.82,9.4,39.65,28.71
2020-12,35,21,14,27,3,3,0,4,6.25,23.81,8.87,37.52,21.85
2021-01,159,73,86,95,29,26,5,7,8.34,15.23,9.29,32.27,22.19
2021-02,110,49,61,53,29,20,3,12,10.66,20.88,10.14,33.63,24.48
2021-03,110,49,61,67,11,26,2,5,16.18,26.9,9.11,32.07,26.19
2021-04,71,17,54,36,8,20,3,7,15.43,19.92,9.72,39.65,27.91
2021-05,54,9,45,32,5,8,5,6,13.01,26.38,8.95,25.08,31.33
2021-06,21,5,16,10,2,5,3,1,13.49,26.33,8.21,37.32,33.15
2021-07,13,2,11,6,0,2,4,1,14.72,19.35,7.83,35.38,34.09
2021-08,11,2,9,5,2,2,2,0,9.78,13.67,7.5,28.57,34.32
2021-09,8,2,6,5,1,2,0,0,7.51,21.39,6.86,32.27,33.34
2021-10,14,4,10,5,3,2,2,2,9.23,18.13,8.29,33.82,31.66
2021-11,32,15,17,19,4,6,0,3,9.07,18.32,9,37.13,24.9
2021-12,43,28,15,26,2,8,2,7,10.87,21,6.54,24.88,26.17
2022-01,73,37,36,31,18,17,1,7,13.77,16.58,9.77,38.29,22
2022-02,71,35,36,33,8,19,3,12,16.84,15.08,8.19,29.35,23.4
2022-03,15,3,12,6,1,6,2,0,22.01,24.73,10.59,35.77,27.06
2022-04,21,6,15,9,2,6,3,2,19.48,32.18,9.36,34.6,28.83
2022-05,34,17,17,20,6,6,0,3,14.21,18.45,7.85,34.79,31.62
2022-06,38,18,20,21,7,8,1,2,13.56,33.22,7.42,26.44,33.91
2022-07,51,16,35,22,14,13,0,3,15.04,36.36,6.76,26.05,34.66
2022-08,56,27,29,33,10,7,0,6,11.06,28.37,5.97,23.13,34.61
2022-09,53,24,29,28,7,14,1,4,8.29,15.05,8,50.54,32.83
2022-10,53,13,40,33,7,7,3,4,11.6,21.42,7.79,27.8,29.09
2022-11,48,25,23,22,9,12,1,6,10.82,20.54,8.81,50.93,27.53
2022-12,22,5,17,10,2,5,3,4,12.13,13.15,7.59,32.27,23.58
2023-01,56,18,38,22,20,9,1,4,16.65,23.13,8.7,32.07,23.44
2023-02,38,14,24,17,5,14,0,2,19.21,27.28,8.83,35.38,26.08
2023-03,22,11,11,7,1,13,1,1,23.96,32.59,9.94,33.24,27.27
2023-04,41,9,32,23,5,11,2,0,20.3,26.52,9.3,41.02,29.77
2023-05,30,11,19,17,5,8,0,0,14.43,39.08,8.39,25.85,30.96
2023-06,23,5,18,12,2,8,1,0,13.97,35.02,9.28,31.49,33.25
2023-07,12,5,7,9,1,5,0,0,15.27,31.15,7.11,32.85,35.5
2023-08,52,16,36,11,14,23,3,1,10.86,28.35,7.11,47.24,35.73
2023-09,29,7,22,13,5,9,0,2,8.72,20.29,6.69,21.38,33.85
2023-10,48,18,30,25,6,16,0,2,7.72,27.32,8.83,30.71,30.24
